Customer ID,Name,Street,City,State,PostalCode,Country,Phone,TollFree,Website
431,Apricot Power,,Lakeport,CA,NULL,US,707-262-1394,866-468-7487,www.apricotpower.com
432,Great Life Health & Nutrition Inc.,9713 North Milwaukee Ave.,Glenview,IL,NULL,US,847-663-1212,,
433,Fountain of Youth- John,1789 Post Road East,Westport,CT,NULL,US,203-259-9378,,www.fountainofyouthwholefoods.com
434,"Elliotts Natural Foods, Sacto",3347 El Camino,Sacramento,CA,NULL,US,916-481-3173,,
435,Sues Health Foods,56840 29 Palms Hwy.,Yucca Valley,CA,NULL,US,760-365-1158,760-365-1471 Fax,
438,Rainbow Whole Food,2807 Old Canton Rd,Jackson,MS,NULL,US,601-366-0719,,
439,Pathway Herb Shop,Pob 1476,Clarkville,VA,NULL,US,434-374-5065,,
440,JD Health Foods,635 East Chicago Ave.,Evanston,IL,NULL,US,847-491-0940,,
445,Lorien Herbs & Natural Foods,1102 S Perry St.,Spokane,WA,NULL,US,509-456-0702,,lorienherbs.com
447,Bonanza Health Foods,923 Grand Ave,Billings,MT,NULL,US,406-252-4923,Jerry,
449,Natures Way,12036 Brookhurst St.,Garden Grove,CA,NULL,US,714-537-6250,,
452,Janes Health Market,6103 Maple St,Omaha,NE,NULL,US,402-558-8911,,
457,Huffman Herbs,3145 River Rd,Morganton,NC,NULL,US,828-433-4919,,
465,Four Tee Herb Shoppe,39 National Hwy,Lavelle,MD,NULL,US,301-777-2993,,
466,The Seed Shop- ask for Evilia,9547 Bandera street,Los Angeles,CA,NULL,US,323-567-3827,,
469,Back to the Garden of Eden,941 S Atlantic Blvd Ste 101/ Montrey Park Medical Center,Monterey Park,CA,NULL,US,323-265-1900,626-458-5606 Fax,www.mpmedicalcenter@scbglobal.net
473,Keith Nichols,859 W Main St,Forest City,NC,NULL,US,828-245-2557,,
475,Natures Health Food & Cafe,555 S Sunrise Way Ste 301,Palm Springs,CA,NULL,US,760-323-9487,,
476,Herbs Plus- Marian,POB 376,Beaverton,MI,NULL,US,989-435-2369,,
477,Boot Hill Health Store- Lila North,105 Ranchview Dr,Johnson City,TX,NULL,US,830-868-7776,,
479,For Goodness Sake,9118 Bonita Beach Rd,Bonita Springs,FL,NULL,US,239-992-5838,,
480,Elliotts Natural Foods (3 stores),8063 Greenback Ln,Citrus Heights,CA,NULL,US,916-726-3033,,
481,Naturally Yours Grocery,4700 N University St,Peoria,IL,NULL,US,309-692-4435,,
482,Healthy Harvest Natural Foods,259 N Braod St #12,Brevard,NC,NULL,US,828-885-2599,Janet,
483,Sunshine Health Foods,2946 Market St,Pascagoula,MS,NULL,US,228-762-6856,888-754-7696,
485,Hobbs Nutrition,809 S. Harrison Street,Alexandria,IN,NULL,US,765-724-4581,,
487,Total Nutrition Center    Andy,1530 McMullen Booth Rd,Clearwater,FL,NULL,US,727-724-1111,877-858-5550,www.totalnutritionusa.com
488,Nassau Health Foods,833 T J Courson Rd,Fernandina Bch,FL,NULL,US,904-277-3158,,www.nassauhealthfoods.net
492,Sinsatiables Herbs Gifts,44884 US 20,Oberlin,OH,NULL,US,440-775-1300,,www.coolcardepot.com
493,Marys Natural Foods,220 S Thompson,Springdale,AR,NULL,US,476-751-4224,479-756-1083 Fax,
494,Natures Garden - Mike Wiechmann,400 W Parkwood Ave Ste 112,Friendswood,TX,NULL,US,281-996-9596,,www.nagamaca.com
498,Stroud Compounding Wellness Pharmacy,7400 Route 611 suite 3,Stroudsburg,PA,NULL,US,570-476-6936,,www.stroudcompounding.com
502,Noah's Ark Nutrition Center,1900 Thomes Ave,Cheyenne,WY,NULL,US,307-778-2088,,www.noahsarknutritioncenter.com
506,Mother Earth Minerals Inc.,1260 S 1200 W #3,Ogden,UT,NULL,US,801-392-1635,,
508,Stay Healthy,840 South Rancho drive suite 14,Las Vegas,NV,NULL,US,702-877-2494,,www.stayhealthylasvegas.com
509,Classic Solutions Inc. -Sherry,2976 Hwy 76,Chatsworth,GA,NULL,US,706-517-1525,,classicsolutions.biz
510,Health & Nutrition Center,5730 Vickery St,Lavonia,GA,NULL,US,706-356-1776,,
511,Ye Olde Health Clinic & Shoppe,116 King St W,Bowmanville,ON,NULL,CA,905-623-6222,,
512,Radiant Health of Baton Rouge,7809 Jefferson Hwy Ste B6,Baton Rouge,LA,NULL,US,225-930-0658,877-930-0658,radianthealthbr.com
513,Alternative Health Specialist,12140 N saginaw Rd,Clio,MI,NULL,US,810-686-6500,,
514,Circle of Health- Adele,70 Pennington Dr. Ste 19,Bluffton,SC,NULL,US,843-815-2060,,
518,All About Herbs,4621 E Palmer-Wasilla Hwy #104,Wasilla,AK,NULL,US,907-376-8327,,www.allaboutherbs.com
519,Fresh and Natural Foods,1075 West Highway 96,Shoreview,MN,NULL,US,651-203-3663,,www.freshandnaturalfoods.com
520,Laredo Organic Foods & Natural Vitamins,611 Salinas Ave,Laredo,TX,NULL,US,956-726-4238,956-726-4338 fax,
526,Ken's Herbs,1327 Haralson Dr,Blairsville,GA,NULL,US,30512,706-745-4864,
529,Fairborn Natural Foods,516 West Xenia Drive,Fairborn,OH,NULL,US,937-878-7649,,
530,Judy Paul,1980 Snyderville Rd,Springfield,OH,NULL,US,937-325-7957,,
532,Healthy Living Center,10520 Keller Road,Clarence,NY,NULL,US,716-741-4412,,www.buffalonaturopath.com
534,Herbaland,4757 North Milwaukee Avenue,Chicago,IL,NULL,US,773-545-6055,,www.herbaland.org
535,NATURE'S REMEDY,16 SOUTH BUFFALO STREET,SPRINGVILLE,NY,NULL,US,716-592-0790,,
536,A Gift of Health,7060 FM 1960  Rd E,Humble,TX,NULL,US,281-540-4372,,www.agohh.com
539,Agapi Pharmacy,6501 San Fernando Road # K,Glendale,CA,NULL,US,818-2464433,,
548,Alternative Choices,32 N Allison St,Greencastle,PA,NULL,US,717-597-1228,,
561,Princess One Chiropractic,3809 Princess Anne Rd #117,Virginia Beach,VA,NULL,US,757-471-9008,,
564,Edens Pathway Lifestyle Center,190 britow lane,reliance,TN,NULL,US,423-371-2032,,
567,Health in Hand,639 N Pierce Ave,Lancaster,OH,NULL,US,740-687-0306,,
568,Healthful Things,C/oJoann Bailey,Fayetteville,NC,NULL,US,910-323-0577,,
570,The Herb Shop,75 Maple Ridge Dr,Cartersville,GA,NULL,US,770-387-4488,,www.herbshopping.com
571,Wholistic Botanicals,155 W 250 N,Spanish Fork,UT,NULL,US,801-794-6826 direct line,,
575,Exclusive Healing Massage,1125 Glen Ln.,Hoffman Estates,IL,NULL,US,847 490 1454,,
579,Red Apple Marketplace,354 s.w. 5th street,Ontario,OR,NULL,US,2088598405,,
582,"Natural Health Center, Virginia",143 Seminole Plaza,Madison Heights,VA,NULL,US,434-845-8113,,
584,Mari-Mann Herb Co. Inc.,1405 Mari Mann Ln,Decatur,IL,NULL,US,217-429-1555,,
588,"Natural Health Center, Cleveland",783 S Main St Ste 9,Cleveland,GA,NULL,US,706-865-6075,,
591,Natures Nook,C/o Rick Barton,Rexburg,ID,NULL,US,208-356-5284,,
595,Norton Nutrition Center,2115 E Florida,Hemet,CA,NULL,US,951-652-7711,,
601,Pure Health Foods Las Vegas,"7575 West Washington Ave, Ste 129",Las Vegas,NV,NULL,US,702-366-9297,,www.purehealthfoodslv.com
606,The Health Connection,704 Freedom Plains Rd,Poughkeepsie,NY,NULL,US,845-473-1275,,
607,Herb Shoppe of Cartersville,19 E. Main St.,Cartersville,GA,NULL,US,770-382-0110,,www.theherbshoppeofcartersville.com
615,Diane's Health Foods,1981 Winfield Road,Worthington,PA,NULL,US,724-548-7315,,
616,The Power Hour,P. O. Box 85,Versailles,MO,NULL,US,573-378-6049,,
617,Out of Eden Health Market,7007 Highway 182 E,Morgan City,LA,NULL,US,985-380-3155,,
618,Hebron Health Food Store,9408 Church Avenue,Brooklyn,NY,NULL,US,718-498-1812,,
619,Rymco Laboratories,3700 Island Boulevard Penthouse,Aventura,FL,NULL,US,305-336-2910,,
621,Better Living Natural Foods,1706 HWY 70 W,CAMDEN,TN,NULL,US,731-279-0350,,
622,Grace's Nutrition,1421 Spring Cypress,Spring,TX,NULL,US,281-353-6630,,
626,American Health Foods/Nourishing Foods,"21202 State Highway 249, Suite 500",Houston,TX,NULL,US,281-257-5511,,
632,Natural Rewards Health Foods,3704,Pearland,TX,NULL,US,281-412-3303,,www.naturalrewards.net
633,Vita-Mart,"1020 West Centerville Road, Suite 1014",Garland,TX,NULL,US,972-270-1986,,
637,Dr. McCain,127 McCain Drive,Mountain View,AR,NULL,US,870-269-5988,,
638,Herbal Healer Academy,127 McCain Drive,Mountain View,AR,NULL,US,,,
640,Elliotts Natural Foods (3 Stores),641 E Bidwell,Folsom,CA,NULL,US,916-983-9225,,
641,Healthy Concepts,4601 50th St. Suite # 108b,Lubbock,TX,NULL,US,(806) 786-5632,,
642,Eve's Garden,624 W Cheyenne Dr # 9,Evanston,WY,NULL,US,307-789-5994,,
643,Sonnewald Natural Foods,4796 Lehman Road,Spring Grove,PA,NULL,US,717-225-3825,,www.Sonnewald.org
644,Martha Willmore,,Buffalo,NY,NULL,US,905-871-4281,,
645,Atlanta Integrative Medicine,"45 West Crossville Road, Suite 501",Roswell,GA,NULL,US,770-594-1233,,
646,Natures Plenty,1010 S Main St,Grove,OK,NULL,US,918-787-7788,,
647,Lassen's Natural Foods & Vitamins - O,7 Stores in Southern Califormia,Oxnard,CA,NULL,US, 805-486-8266,,www.lassens.com
648,Nature's Wonders,910A Highway 62-65 N,Harrison,AR,NULL,US,870-741-1973,,http://natureswondersmarket.com/
651,Good Earth Natural Foods-American Fork,336 W. Main,American Fork,UT,NULL,US,801-756-0233,,
652,Heritage Natural Market,984 Laskin Road,Virginia Beach,VA,NULL,US,,,www.heritagestore.com
